category,Amazon English Books,Tiki English Books,Tiki Vietnamese Books
Literature & Fiction,15.3,37.0,54.2
Children's Books,14.8,17.7,5.1
Self-Help,4.9,2.9,18.6
Business & Money,12.4,5.2,7.7
Dictionary,0.0,15.9,0.1
Education & Teaching,0.3,11.0,0.0
Biographies & Memoirs,5.4,3.2,0.0
"Health, Fitness & Dieting",5.5,0.0,0.8
Politics & Social Sciences,5.3,0.0,0.0
Language,0.0,2.8,2.4
"Cookbooks, Food & Wine",4.3,0.0,0.0
"Mystery, Thriller & Suspense",4.2,0.0,0.0
History,3.4,0.0,0.5
Reference,1.3,1.2,1.2
Parenting,0.0,0.0,3.2
